date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:37:48	181/181	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Jun%202020%2012:37:48%20GMT	http://welecja.pl/robots.txt		(from )
14:37:48	10165/10165	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Jun%202020%2012:37:48%20GMT	http://welecja.pl/	C:/Users/Konrad/Google%20Drive/Welecja/Welecja.pl%20Backup/Welecja/welecja.pl/index.html	(from )
14:37:49	4051/4051	---MCZ	200	added ('OK')	text/css	date:Sat,%2029%20Oct%202011%2011:23:46%20GMT	http://welecja.pl/templates/css/common.css	C:/Users/Konrad/Google%20Drive/Welecja/Welecja.pl%20Backup/Welecja/welecja.pl/templates/css/common.css	(from http://welecja.pl/)
14:37:49	9770/9770	---MCZ	200	added ('OK')	text/css	date:Thu,%2022%20Dec%202011%2022:37:18%20GMT	http://welecja.pl/templates/css/style.css	C:/Users/Konrad/Google%20Drive/Welecja/Welecja.pl%20Backup/Welecja/welecja.pl/templates/css/style.css	(from http://welecja.pl/)
14:37:49	4159/4159	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2022%20Dec%202011%2022:29:23%20GMT	http://welecja.pl/filesMain/slajdy.js	C:/Users/Konrad/Google%20Drive/Welecja/Welecja.pl%20Backup/Welecja/welecja.pl/filesMain/slajdy.js	(from http://welecja.pl/)
14:37:50	1133/1133	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2022%20Dec%202011%2022:35:16%20GMT	http://welecja.pl/templates/js/core.js	C:/Users/Konrad/Google%20Drive/Welecja/Welecja.pl%20Backup/Welecja/welecja.pl/templates/js/core.js	(from http://welecja.pl/)
14:37:50	1294/1294	---M--	200	added ('OK')	application/octet-stream	date:Fri,%2028%20Oct%202011%2012:25:43%20GMT	http://welecja.pl/templates/images/favicon.ico	C:/Users/Konrad/Google%20Drive/Welecja/Welecja.pl%20Backup/Welecja/welecja.pl/templates/images/favicon.ico	(from http://welecja.pl/)
14:37:50	199/199	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Jun%202020%2012:37:50%20GMT	http://welecja.pl/templates/images/favicon.gif	C:/Users/Konrad/Google%20Drive/Welecja/Welecja.pl%20Backup/Welecja/welecja.pl/templates/images/favicon.gif	(from http://welecja.pl/)
14:37:51	6789/6789	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2028%20Oct%202011%2012:01:29%20GMT	http://welecja.pl/filesMain/fancybox/jquery.easing-1.3.pack.js	C:/Users/Konrad/Google%20Drive/Welecja/Welecja.pl%20Backup/Welecja/welecja.pl/filesMain/fancybox/jquery.easing-1.3.pack.js	(from http://welecja.pl/)
14:37:51	9200/9200	---MCZ	200	added ('OK')	text/css	date:Fri,%2028%20Oct%202011%2012:01:28%20GMT	http://welecja.pl/filesMain/fancybox/fancybox.css	C:/Users/Konrad/Google%20Drive/Welecja/Welecja.pl%20Backup/Welecja/welecja.pl/filesMain/fancybox/fancybox.css	(from http://welecja.pl/)
14:37:51	29398/29398	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2028%20Oct%202011%2012:01:29%20GMT	http://welecja.pl/filesMain/fancybox/fancybox.js	C:/Users/Konrad/Google%20Drive/Welecja/Welecja.pl%20Backup/Welecja/welecja.pl/filesMain/fancybox/fancybox.js	(from http://welecja.pl/)
14:37:52	11518/11518	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Jun%202020%2012:37:52%20GMT	http://welecja.pl/2,Aktualnosci	C:/Users/Konrad/Google%20Drive/Welecja/Welecja.pl%20Backup/Welecja/welecja.pl/2,Aktualnosci.html	(from http://welecja.pl/)
14:37:52	8329/8329	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Jun%202020%2012:37:52%20GMT	http://welecja.pl/4,Podstawy	C:/Users/Konrad/Google%20Drive/Welecja/Welecja.pl%20Backup/Welecja/welecja.pl/4,Podstawy.html	(from http://welecja.pl/)
14:37:53	11981/11981	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Jun%202020%2012:37:53%20GMT	http://welecja.pl/5,Historia	C:/Users/Konrad/Google%20Drive/Welecja/Welecja.pl%20Backup/Welecja/welecja.pl/5,Historia.html	(from http://welecja.pl/)
14:37:53	9448/9448	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Jun%202020%2012:37:53%20GMT	http://welecja.pl/7,Album_Veletorum	C:/Users/Konrad/Google%20Drive/Welecja/Welecja.pl%20Backup/Welecja/welecja.pl/7,Album_Veletorum.html	(from http://welecja.pl/)
14:37:53	6772/6772	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Jun%202020%2012:37:53%20GMT	http://welecja.pl/8,Korporacje	C:/Users/Konrad/Google%20Drive/Welecja/Welecja.pl%20Backup/Welecja/welecja.pl/8,Korporacje.html	(from http://welecja.pl/)
14:37:54	7664/7664	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Jun%202020%2012:37:54%20GMT	http://welecja.pl/9,Kontakt	C:/Users/Konrad/Google%20Drive/Welecja/Welecja.pl%20Backup/Welecja/welecja.pl/9,Kontakt.html	(from http://welecja.pl/)
14:37:54	6048/6048	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Jun%202020%2012:37:54%20GMT	http://welecja.pl/56,Dla_Weletow	C:/Users/Konrad/Google%20Drive/Welecja/Welecja.pl%20Backup/Welecja/welecja.pl/56,Dla_Weletow.html	(from http://welecja.pl/)
14:37:54	681/681	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Oct%202011%2012:24:32%20GMT	http://welecja.pl/templates/images/aktualnosci.png	C:/Users/Konrad/Google%20Drive/Welecja/Welecja.pl%20Backup/Welecja/welecja.pl/templates/images/aktualnosci.png	(from http://welecja.pl/)
14:37:55	614/614	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Oct%202011%2012:24:32%20GMT	http://welecja.pl/templates/images/podstawy.png	C:/Users/Konrad/Google%20Drive/Welecja/Welecja.pl%20Backup/Welecja/welecja.pl/templates/images/podstawy.png	(from http://welecja.pl/)
14:37:55	538/538	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Oct%202011%2012:24:31%20GMT	http://welecja.pl/templates/images/czytelnia.png	C:/Users/Konrad/Google%20Drive/Welecja/Welecja.pl%20Backup/Welecja/welecja.pl/templates/images/czytelnia.png	(from http://welecja.pl/)
14:37:56	17605/17605	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Jun%202020%2012:37:55%20GMT	http://welecja.pl/60,Tradycje_Korporacji_Akademickich	C:/Users/Konrad/Google%20Drive/Welecja/Welecja.pl%20Backup/Welecja/welecja.pl/60,Tradycje_Korporacji_Akademickich.html	(from http://welecja.pl/)
14:37:56	6430/6430	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Jun%202020%2012:37:56%20GMT	http://welecja.pl/57,Dom_Welecki	C:/Users/Konrad/Google%20Drive/Welecja/Welecja.pl%20Backup/Welecja/welecja.pl/57,Dom_Welecki.html	(from http://welecja.pl/)
14:37:56	6458/6458	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Jun%202020%2012:37:56%20GMT	http://welecja.pl/58,Szermierka	C:/Users/Konrad/Google%20Drive/Welecja/Welecja.pl%20Backup/Welecja/welecja.pl/58,Szermierka.html	(from http://welecja.pl/)
14:38:04	95332/95332	---M--	200	added ('OK')	image/png	date:Thu,%2022%20Dec%202011%2022:06:13%20GMT	http://welecja.pl/templates/images/nowy-naglowek.png	C:/Users/Konrad/Google%20Drive/Welecja/Welecja.pl%20Backup/Welecja/welecja.pl/templates/images/nowy-naglowek.png	(from http://welecja.pl/)
14:38:13	183184/183184	---MC-	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.4/jquery.js	C:/Users/Konrad/Google%20Drive/Welecja/Welecja.pl%20Backup/Welecja/ajax.googleapis.com/ajax/libs/jquery/1.4/jquery.js	(from http://welecja.pl/)
14:38:13	107784/107784	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Jun%202020%2003:14:49%20GMT	http://welecja.pl/pageFiles/various/3/3_m.jpg	C:/Users/Konrad/Google%20Drive/Welecja/Welecja.pl%20Backup/Welecja/welecja.pl/pageFiles/various/3/3_m.jpg	(from http://welecja.pl/)
14:38:15	10733/10733	---M--	200	added ('OK')	image/jpeg	date:Fri,%2028%20Oct%202011%2012:24:31%20GMT	http://welecja.pl/templates/images/wprowadzenie.jpg	C:/Users/Konrad/Google%20Drive/Welecja/Welecja.pl%20Backup/Welecja/welecja.pl/templates/images/wprowadzenie.jpg	(from http://welecja.pl/)
14:38:19	147762/147762	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Jul%202019%2010:50:09%20GMT	http://welecja.pl/pageFiles/various/2/2_m.jpg	C:/Users/Konrad/Google%20Drive/Welecja/Welecja.pl%20Backup/Welecja/welecja.pl/pageFiles/various/2/2_m.jpg	(from http://welecja.pl/)
14:38:26	40673/40673	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2023%20Nov%202011%2012:23:19%20GMT	http://welecja.pl/templates/images/PIE.htc	C:/Users/Konrad/Google%20Drive/Welecja/Welecja.pl%20Backup/Welecja/welecja.pl/templates/images/PIE.htc	(from http://welecja.pl/templates/css/style.css)
14:38:28	93532/93532	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Jun%202020%2003:20:04%20GMT	http://welecja.pl/pageFiles/various/4/4_m.jpg	C:/Users/Konrad/Google%20Drive/Welecja/Welecja.pl%20Backup/Welecja/welecja.pl/pageFiles/various/4/4_m.jpg	(from http://welecja.pl/)
14:38:28	148339/148339	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Jun%202020%2003:22:27%20GMT	http://welecja.pl/pageFiles/various/5/5_m.jpg	C:/Users/Konrad/Google%20Drive/Welecja/Welecja.pl%20Backup/Welecja/welecja.pl/pageFiles/various/5/5_m.jpg	(from http://welecja.pl/)
14:38:28	1058/1058	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Oct%202011%2012:24:32%20GMT	http://welecja.pl/templates/images/tlocytat.png	C:/Users/Konrad/Google%20Drive/Welecja/Welecja.pl%20Backup/Welecja/welecja.pl/templates/images/tlocytat.png	(from http://welecja.pl/templates/css/style.css)
14:38:28	370/370	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Oct%202011%2012:24:30%20GMT	http://welecja.pl/templates/images/eska.png	C:/Users/Konrad/Google%20Drive/Welecja/Welecja.pl%20Backup/Welecja/welecja.pl/templates/images/eska.png	(from http://welecja.pl/templates/css/style.css)
14:38:29	121/121	---M--	200	added ('OK')	image/png	date:Thu,%2022%20Dec%202011%2022:33:02%20GMT	http://welecja.pl/templates/images/slajdBg.png	C:/Users/Konrad/Google%20Drive/Welecja/Welecja.pl%20Backup/Welecja/welecja.pl/templates/images/slajdBg.png	(from http://welecja.pl/templates/css/style.css)
14:38:29	43/43	---M--	200	added ('OK')	image/gif	date:Fri,%2028%20Oct%202011%2012:01:29%20GMT	http://welecja.pl/filesMain/fancybox/img/blank.gif	C:/Users/Konrad/Google%20Drive/Welecja/Welecja.pl%20Backup/Welecja/welecja.pl/filesMain/fancybox/img/blank.gif	(from http://welecja.pl/filesMain/fancybox/fancybox.css)
